City,At the beginning of the pandemic did you work or study?,Family,Friends,Pets,Roommates,People I didn't know,Alone,How many people did you live with in that period?,Bored.3c,Stressed.3c,Free.3c,Optimistic.3c,Peaceful.3c,Lonely.3c,Disappointed.3c,Frustrated.3c,Threatened.3c,Before covid,During covid,Bored.3e,Stressed.3e,Excited.3e,Hopeful.3e,Peaceful.3e,Lonely.3e,Vulnerable.3e,Disappointed.3e,Anxious.3e,Mask mandate.2020,Lockdown.2020,Closing Workplace/University.2020,Vaccination pass.2020,Social distancing.2020,Quarantine.2020,Mask mandate.2021,Lockdown.2021,Closing Workplace/University.2021,Vaccination pass.2021,Social distancing.2021,Quarantine.2021,Proud.4c,Optimistic.4c,Indifferent.4c,Vulnerable.4c,Disappointed.4c,Hostile.4c,Threatened.4c,Anxious.4c,Free.4c,No,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed.5b,Optimistic.5b,Peaceful.5b,Lonely.5b,Vulnerable.5b,Disappointed.5b,Frustrated.5b,Anxious.5b,Threatened.5b,What were the priorities in your life *before* COVID-19?.1,What were the priorities in your life *before* COVID-19?.2,What were the priorities in your life *before* COVID-19?.3,What were the priorities in your life *before* COVID-19?.4,What were the priorities in your life *before* COVID-19?.5,What were the priorities in your life *before* COVID-19?.6,What were the priorities in your life *during* COVID-19?.1,What were the priorities in your life *during* COVID-19?.2,What were the priorities in your life *during* COVID-19?.3,What were the priorities in your life *during* COVID-19?.4,What were the priorities in your life *during* COVID-19?.5,What were the priorities in your life *during* COVID-19?.6,What is your main source of income?,Bored.6b,Stressed.6b,Free.6b,Proud.6b,Optimistic.6b,Lonely.6b,Disappointed.6b,Frustrated.6b,Anxious.6b,Did your studying situation changed during COVID-19?,Change in personal interests,Change in learning modes,Family / Friends / Advisors Influence,Low grades,Better Career Prospects,Economic Difficulties,Started working,Other / I prefer not to answer,How would you describe your job?,"In your daily job, do you work directly with the public?",Free.7c,Aggressive.7c,Frustrated.7c,Disappointed.7c,Vulnerable.7c,Lonely.7c,Optimistic.7c,Enthusiastic.7c,Stressed.7c,Did your professional situation change during COVID-19?,Why did your professional situation change?,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Meeting a small group of friends (2-6 people).1,"Going to public places (cinemas, theaters, restaurants, gym).1",Taking public transportation.1,Going to a crowded event outdoors.1,Do you feel you have gone back to your “normality”?,What is your job sector?,What is your major?,What is your gender?,How old are you now?,Where did you grow up?,What is your ethnicity?,Which of these emotions do you associate with COVID-19?
New York,Work,,,Pets,,,,,,,,Optimistic,Peaceful,,,,,Every 3 months,Every 3 months,,,,,Peaceful,,,,,4,1,1,2,2,1,2,1,1,1,1,2,,,,,,,,,Free,No,,,,,,,,,,,,,Spirituality,Mental health,Physical health,Career & Finances,Family,Relationships,Spirituality,Physical health,Mental health,Family,Relationships,Career & Finances,,,,,,,,,,,,,,,,,,,,Self - employed,1,Free,,,,,,,,,"Yes, due to smartworking",I wanted to work remotely,5,5,5,5,5,5,5,5,10,Food & Consumer Goods,,Male,30-40,I'm from New York State,White,Free
Milan,Work,Family,,Pets,,,,,Bored,Stressed,,,,Lonely,,,,Monthly,Daily,Bored,,,,,Lonely,Vulnerable,,,5,5,5,5,4,4,5,2,1,3,3,3,,,,,,Hostile,Threatened,,,No,,,,,,,,,,,,,Mental health,Career & Finances,Relationships,Physical health,Family,Spirituality,Physical health,Career & Finances,Mental health,Relationships,Spirituality,Family,,,,,,,,,,,,,,,,,,,,Self - employed,0,,,Frustrated,Disappointed,Vulnerable,,,,,"Yes, I quit my job",Better Career Prospects,4,2,4,2,5,5,5,3,5,Real Estate,,Female,24-30,I come from abroad,Asian,Frustrated
New York,Work,Family,,,,,,4,,,,,Peaceful,,,,,Weekly,Weekly,,,,,,,,Disappointed,,5,5,5,5,5,5,5,5,5,5,5,5,,Optimistic,,Vulnerable,Disappointed,,,,,No,,,,,,,,,,,,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Career & Finances,Family,Mental health,Relationships,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,Frustrated,,,,,,,"Yes, my company went out of business",Better Career Prospects,5,5,5,5,5,5,5,5,3,Manufacturing & Logistics,,Male,24-30,I'm from somewhere else in the US,White,Lonely
New York,Work,,,,Roommates,,,9,Bored,,,,,,Disappointed,,,Monthly,Every 3 months,Bored,,,Hopeful,,,,,Anxious,4,4,4,4,3,5,4,4,4,3,4,5,,,,,Disappointed,,,Anxious,Free,No,,,,,,,,,,,,,Relationships,Family,Physical health,Mental health,Career & Finances,Spirituality,Relationships,Physical health,Mental health,Career & Finances,Spirituality,Family,,,,,,,,,,,,,,,,,,,,Fixed term employed,1,,Aggressive,Frustrated,,,,,,,"No, it didn't change",,3,3,4,4,3,3,4,4,5,Financials,,Male,30-40,I'm from New York State,White,Lonely
Milan,Work,Family,,,,,,2,,,,,Peaceful,,,,,Weekly,Weekly,,,,,Peaceful,,,,,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,Free,No,,,,,,,,,,,,,Physical health,Career & Finances,Mental health,Relationships,Spirituality,Family,Physical health,Mental health,Career & Finances,Spirituality,Relationships,Family,,,,,,,,,,,,,,,,,,,,Fixed term employed,1,Free,,,,,,,,,"No, it didn't change",,3,3,3,3,3,3,3,3,8,Health Care,,Male,30-40,I come from abroad,Asian,Free
Milan,Study,Family,,,,,,2,,,Free,Optimistic,,,,Frustrated,,Weekly,Daily,,,Excited,Hopeful,,,Vulnerable,,,5,3,3,2,2,3,5,2,2,2,2,2,,,,,,,,,Free,No,,,,,,,,,,,,,Physical health,Mental health,Family,Relationships,Spirituality,Career & Finances,Mental health,Physical health,Relationships,Career & Finances,Spirituality,Family,Scholarship,,,,,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,3,5,5,5,3,2,,Engineering and Technology,Male,20-24,I come from abroad,Asian,Optimistic
New York,Work,,,,,,Alone,,,,,,,,,,,Monthly,Every 3 months,,,,,,Lonely,,,Anxious,5,4,4,3,5,5,4,,3,2,4,5,,,,,,,,Anxious,,,,"Yes, in 2021",,Stressed,,,,,,,,,Relationships,Career & Finances,Physical health,Mental health,Spirituality,Family,Relationships,Physical health,Mental health,Career & Finances,Spirituality,Family,,,,,,,,,,,,,,,,,,,,Unemployed,0,,Aggressive,,,,,,,,"Yes, my contract ended",Work environment,5,5,4,4,5,3,4,5,9,Information Technology,,Male,24-30,I'm from New York State,White,Stressed
New York,Work,,,,Roommates,,,3,,,,Optimistic,Peaceful,,,,,Weekly,Daily,,,,,,Lonely,,,,5,5,3,5,5,5,4,3,2,5,4,4,,,Indifferent,,,,Threatened,,,No,,,,,,,,,,,,,Family,Relationships,Mental health,Physical health,Career & Finances,Spirituality,Mental health,Physical health,Family,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,,,,Lonely,,,Stressed,"Yes, due to smartworking",Work environment,5,1,2,1,5,5,4,4,8,Media & Entertainment,,Female,30-40,I'm from somewhere else in the US,White,Lonely
Milan,Work,,,,,,Alone,,,,,,,,,,,Weekly,Monthly,Bored,,,,Peaceful,,,,,2,2,2,3,3,3,3,3,3,4,4,2,,,Indifferent,,,,,,,No,,,,,,,,,,,,,Physical health,Mental health,Relationships,Family,Career & Finances,Spirituality,Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,,,,Lonely,,,,"No, it didn't change",,3,3,3,3,3,3,3,3,5,Energy production & Distribution,,Male,24-30,I come from abroad,Asian,Lonely
New York,Work,,Friends,,,,,1,,,Free,,Peaceful,,,,,Monthly,Monthly,Bored,,,,,Lonely,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,Disappointed,,,,,No,,,,,,,,,,,,,Mental health,Physical health,Relationships,Family,Career & Finances,Spirituality,Mental health,Family,Physical health,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Homemaker,0,Free,,,,,,,,,"No, it didn't change",,5,3,5,5,5,5,5,5,5,Information Technology,,Male,24-30,I come from abroad,White,Stressed
