City,At the beginning of the pandemic did you work or study?,Family,Friends,Pets,Roommates,People I didn't know,Alone,How many people did you live with in that period?,Bored.3c,Stressed.3c,Free.3c,Optimistic.3c,Peaceful.3c,Lonely.3c,Disappointed.3c,Frustrated.3c,Threatened.3c,Before covid,During covid,Bored.3e,Stressed.3e,Excited.3e,Hopeful.3e,Peaceful.3e,Lonely.3e,Vulnerable.3e,Disappointed.3e,Anxious.3e,Mask mandate.2020,Lockdown.2020,Closing Workplace/University.2020,Vaccination pass.2020,Social distancing.2020,Quarantine.2020,Mask mandate.2021,Lockdown.2021,Closing Workplace/University.2021,Vaccination pass.2021,Social distancing.2021,Quarantine.2021,Proud.4c,Optimistic.4c,Indifferent.4c,Vulnerable.4c,Disappointed.4c,Hostile.4c,Threatened.4c,Anxious.4c,Free.4c,No,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed.5b,Optimistic.5b,Peaceful.5b,Lonely.5b,Vulnerable.5b,Disappointed.5b,Frustrated.5b,Anxious.5b,Threatened.5b,What were the priorities in your life *before* COVID-19?.1,What were the priorities in your life *before* COVID-19?.2,What were the priorities in your life *before* COVID-19?.3,What were the priorities in your life *before* COVID-19?.4,What were the priorities in your life *before* COVID-19?.5,What were the priorities in your life *before* COVID-19?.6,What were the priorities in your life *during* COVID-19?.1,What were the priorities in your life *during* COVID-19?.2,What were the priorities in your life *during* COVID-19?.3,What were the priorities in your life *during* COVID-19?.4,What were the priorities in your life *during* COVID-19?.5,What were the priorities in your life *during* COVID-19?.6,What is your main source of income?,Bored.6b,Stressed.6b,Free.6b,Proud.6b,Optimistic.6b,Lonely.6b,Disappointed.6b,Frustrated.6b,Anxious.6b,Did your studying situation changed during COVID-19?,Change in personal interests,Change in learning modes,Family / Friends / Advisors Influence,Low grades,Better Career Prospects,Economic Difficulties,Started working,Other / I prefer not to answer,How would you describe your job?,"In your daily job, do you work directly with the public?",Free.7c,Aggressive.7c,Frustrated.7c,Disappointed.7c,Vulnerable.7c,Lonely.7c,Optimistic.7c,Enthusiastic.7c,Stressed.7c,Did your professional situation change during COVID-19?,Why did your professional situation change?,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Meeting a small group of friends (2-6 people).1,"Going to public places (cinemas, theaters, restaurants, gym).1",Taking public transportation.1,Going to a crowded event outdoors.1,Do you feel you have gone back to your “normality”?,What is your job sector?,What is your major?,What is your gender?,How old are you now?,Where did you grow up?,What is your ethnicity?,Which of these emotions do you associate with COVID-19?
Milan,Study,Family,,,,,,2,,,,,Peaceful,,,,,Daily,Daily,,,,,Peaceful,,,,,5,3,2,3,5,4,4,2,2,3,4,3,,,,,Disappointed,Hostile,,,,No,,,,,,,,,,,,,Mental health,Family,Spirituality,Career & Finances,Physical health,Relationships,Mental health,Family,Spirituality,Career & Finances,Physical health,Relationships,Family,,,,,,,,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,3,2,4,1,4,4,4,2,9,,Engineering and Technology,Male,20-24,I'm Italian,Other / I prefer not to answer,
Milan,Study,Family,,,,,,2,,Stressed,,,,Lonely,,Frustrated,,Daily,Daily,,,,,,,,Disappointed,,5,5,1,3,4,5,4,4,1,3,4,5,,,Indifferent,,,,,,,No,,,,,,,,,,,,,Relationships,Physical health,Family,Career & Finances,Mental health,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Family,,,,,,,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,3,2,2,4,5,5,5,5,9,,Engineering and Technology,Male,20-24,I have always lived in Milan,White,
Milan,Study,Family,,,,,Alone,,,,,,,,,,,Daily,Daily,,Stressed,,,,Lonely,,,,3,3,2,4,4,5,2,2,2,2,3,4,,,,,Disappointed,Hostile,,,,No,,,,,,,,,,,,,Relationships,Career & Finances,Mental health,Family,Physical health,Spirituality,Mental health,Career & Finances,Relationships,Family,Physical health,Spirituality,Family,,Stressed,,,,Lonely,,Frustrated,,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,5,5,4,5,5,5,5,4,7,,Engineering and Technology,Male,24-30,I'm Italian,White,
Milan,Study,Family,,Pets,,,,,Bored,Stressed,,,,,,,,Daily,Daily,,,,,Peaceful,,,,,4,4,3,2,2,5,3,2,2,2,2,4,,,Indifferent,,,,,,Free,No,,,,,,,,,,,,,Family,Relationships,Career & Finances,Mental health,Physical health,Spirituality,Career & Finances,Relationships,Family,Mental health,Physical health,Spirituality,Family,,Stressed,,,,Lonely,,,,No,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,5,5,5,5,8,,Engineering and Technology,Male,18-20,I'm Italian,White,
Milan,Study,Family,,,,,,4,,,,,Peaceful,Lonely,,,,Daily,Daily,,,,Hopeful,,,,,,5,3,3,5,5,4,3,1,3,5,4,4,,,,,Disappointed,,,,,No,,,,,,,,,,,,,Career & Finances,Physical health,Mental health,Family,Relationships,Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,,Stressed,,,,Lonely,Disappointed,,,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,2,4,2,3,4,4,2,3,7,,Engineering and Technology,Female,18-20,I'm Italian,White,
Milan,Neither,Family,,,,,,5,,,Free,,,,,Frustrated,,Daily,Monthly,,,,Hopeful,,Lonely,,Disappointed,,5,3,4,5,2,4,4,3,5,5,1,4,,,,,Disappointed,Hostile,Threatened,,,No,,,,,,,,,,,,,Physical health,Relationships,Family,Mental health,Career & Finances,Spirituality,Family,Relationships,Career & Finances,Mental health,Physical health,Spirituality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,5,5,5,4,9,Other / I prefer not to answer,,Male,18-20,I'm Italian,White,
Milan,Study,Family,,,,,,3,,Stressed,,,,,,,,Daily,Daily,,,,,,Lonely,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,Threatened,,,No,,,,,,,,,,,,,Relationships,Mental health,Physical health,Family,Career & Finances,Spirituality,Relationships,Mental health,Physical health,Career & Finances,Family,Spirituality,Job,,Stressed,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,4,3,2,2,9,,Engineering and Technology,Male,24-30,I have always lived in Milan,White,
Milan,Study,Family,,,,,,2,,,,,Peaceful,,,,,Daily,Daily,,,,,,,,,Anxious,5,4,4,5,4,4,5,4,3,5,4,4,,,,Vulnerable,Disappointed,,Threatened,,,No,,,,,,,,,,,,,Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality,Mental health,Physical health,Family,Relationships,Career & Finances,Spirituality,Family,,Stressed,,Proud,,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,3,1,1,5,4,2,1,8,,Engineering and Technology,Male,18-20,I'm Italian,Multiracial,
Milan,Study,Family,Friends,Pets,,,Alone,,,,,,,,,,,Monthly,Once a week,,,,Hopeful,,Lonely,,,,3,4,5,3,3,5,3,4,4,4,3,4,,,Indifferent,,,Hostile,Threatened,,,,"Yes, in 2020",,,,Optimistic,Peaceful,,,,,,,Physical health,Family,Relationships,Mental health,Career & Finances,Spirituality,Mental health,Career & Finances,Relationships,Physical health,Family,Spirituality,Other / I prefer not to answer,Bored,Stressed,,Proud,,,,,,Yes because I changed my field of study,,Change in learning modes,,,Better Career Prospects,,,,,,,,,,,,,,,,,4,4,2,2,5,5,4,5,7,,Engineering and Technology,Male,20-24,I have always lived in Milan,White,
Milan,Study,Family,Friends,,,,,2,,,,Optimistic,Peaceful,,,,,Daily,Daily,,,Excited,Hopeful,,,,,,5,5,4,5,5,5,4,5,3,5,4,5,,,,,Disappointed,,Threatened,Anxious,,,,,"Yes, in 2022",,,,Lonely,,,Frustrated,,,Relationships,Family,Career & Finances,Physical health,Mental health,Spirituality,Physical health,Relationships,Mental health,Family,Career & Finances,Spirituality,Family,,Stressed,Free,,,,,,Anxious,Yes because I changed my field of study,Change in personal interests,,,,,,,,,,,,,,,,,,,,,3,3,3,1,5,5,5,5,9,,Engineering and Technology,Male,20-24,I'm Italian,White,
Milan,Study,Family,,Pets,,,,,,,,,Peaceful,,,,,Once a week,Daily,,,,,Peaceful,,,,,5,4,4,5,4,5,5,4,4,5,4,4,,,,,Disappointed,,,,,,"Yes, in 2020",,,,,Peaceful,,,,,,,Career & Finances,Mental health,Relationships,Family,Physical health,Spirituality,Career & Finances,Relationships,Mental health,Family,Physical health,Spirituality,Family,,,,,,,,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,4,4,3,2,5,5,3,3,8,,Engineering and Technology,Female,20-24,I'm Italian,White,
Milan,Study,Family,,,,,,3,,,,,Peaceful,,,,,Daily,Daily,,,,Hopeful,Peaceful,,,,,4,5,5,2,5,5,4,5,5,2,5,5,,,Indifferent,,,,,,,,,"Yes, in 2021","Yes, in 2022",Stressed,,Peaceful,,,,Frustrated,,,Mental health,Relationships,Family,Physical health,Career & Finances,Spirituality,Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality,Family,,,Free,,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,4,,Engineering and Technology,Male,20-24,I'm Italian,White,
Milan,Study,Family,,,,,,2,,,,,Peaceful,,,,,Once a week,Every 3 months,,Stressed,,,,,,,,4,4,4,5,4,4,4,4,4,5,4,4,,,,,Disappointed,,,,,No,,,,,,,,,,,,,Physical health,Family,Relationships,Career & Finances,Mental health,Spirituality,Relationships,Family,Physical health,Career & Finances,Mental health,Spirituality,Family,,Stressed,,,,,,,,Yes because I changed my field of study,Change in personal interests,,,,,,,,,,,,,,,,,,,,,5,4,3,2,5,4,3,2,6,,Engineering and Technology,Male,20-24,I'm Italian,White,
Milan,Study,Family,,,Roommates,,,2,Bored,Stressed,,,,,,Frustrated,,Once a week,Daily,,,,,,Lonely,Vulnerable,Disappointed,,5,5,5,5,5,5,5,4,4,5,5,5,,,,,Disappointed,Hostile,Threatened,,,,,"Yes, in 2021",,,Optimistic,Peaceful,Lonely,,,,,,Relationships,Family,Career & Finances,Mental health,Physical health,Spirituality,Relationships,Family,Mental health,Career & Finances,Physical health,Spirituality,Family,,Stressed,,,,,,Frustrated,Anxious,No,,,,,,,,,,,,,,,,,,,,,,4,3,3,4,4,3,3,4,6,,Engineering and Technology,Female,20-24,I'm Italian,White,
Milan,Both,Family,Friends,,,,,7,,,,,Peaceful,,,,,Daily,Daily,,,,,Peaceful,,,,,1,1,1,1,3,1,1,1,1,1,1,1,,,Indifferent,,,,,,,No,,,,,,,,,,,,,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,Career & Finances,Relationships,Physical health,Mental health,Spirituality,Job,,,,,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,10,,Engineering and Technology,Male,40-50,I'm Italian,White,
Milan,Study,Family,,,,,,3,Bored,,,,Peaceful,,Disappointed,,,Daily,Daily,,,Excited,,,,,,,4,3,4,3,4,3,4,2,2,3,4,2,,,,,Disappointed,,Threatened,Anxious,,,,,"Yes, in 2022",,,Peaceful,,,,,Anxious,,Physical health,Family,Career & Finances,Relationships,Mental health,Spirituality,Physical health,Mental health,Family,Career & Finances,Relationships,Spirituality,Scholarship,Bored,,,,,Lonely,,,,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,5,5,4,4,5,5,5,5,8,,Engineering and Technology,Male,18-20,I'm Italian,White,
Milan,Study,Family,,,,,,1,Bored,,,Optimistic,,,,Frustrated,,Daily,Daily,Bored,,,,,Lonely,,,,4,2,4,2,3,4,3,1,2,2,2,4,,,,,Disappointed,,,,,,,,"Yes, in 2022",Stressed,,,Lonely,,,Frustrated,,,Relationships,Career & Finances,Family,Physical health,Mental health,Spirituality,Family,Relationships,Mental health,Physical health,Career & Finances,Spirituality,Scholarship,Bored,,,,,,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,5,5,4,5,5,5,5,5,9,,Engineering and Technology,Female,18-20,I'm Italian,White,
Milan,Study,Family,,,,,,3,,,,,,,Disappointed,,,Daily,Once a week,,Stressed,,,,,,,,3,1,3,2,1,1,2,1,3,2,1,1,,,Indifferent,,,,,,Free,,,"Yes, in 2021",,,Optimistic,Peaceful,,,,,,,Physical health,Relationships,Career & Finances,Mental health,Family,Spirituality,Mental health,Physical health,Relationships,Family,Career & Finances,Spirituality,Family,Bored,,,,,Lonely,,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,2,3,4,3,5,5,5,5,7,,Engineering and Technology,Male,20-24,I'm Italian,Other / I prefer not to answer,
Milan,Study,Family,,Pets,,,,,,,,,,,Disappointed,Frustrated,,Daily,Daily,,,Excited,,,,,,,5,4,5,5,5,4,5,5,5,5,5,5,,,,,,,Threatened,,,No,,,,,,,,,,,,,Physical health,Career & Finances,Family,Mental health,Relationships,Spirituality,Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality,Other / I prefer not to answer,,Stressed,,,,,,Frustrated,Anxious,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,3,3,3,4,8,,Engineering and Technology,Male,20-24,I'm Italian,White,
Milan,Study,Family,,,,,,4,,,,Optimistic,Peaceful,,,,,Daily,Daily,,,Excited,Hopeful,,,,,,5,5,5,5,5,5,4,5,3,5,3,5,,,,,Disappointed,,,,,,,"Yes, in 2021",,Stressed,,,,,,Frustrated,,,Relationships,Mental health,Career & Finances,Physical health,Family,Spirituality,Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality,,Bored,,,,,Lonely,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,5,5,4,5,5,5,5,5,9,,Engineering and Technology,Female,18-20,I'm Italian,White,
Milan,Study,Family,,,,,,2,,Stressed,,,,,Disappointed,Frustrated,,Once a week,Once a week,,,Excited,Hopeful,Peaceful,,,,,5,5,3,3,5,5,5,3,2,3,5,4,,,,,Disappointed,,,,,No,,,,,,,,,,,,,Relationships,Career & Finances,Mental health,Physical health,Family,Spirituality,Mental health,Relationships,Career & Finances,Physical health,Family,Spirituality,Other / I prefer not to answer,,Stressed,,,,,Disappointed,,Anxious,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,4,2,1,3,5,4,2,5,8,,Engineering and Technology,Not-binary,20-24,I have always lived in Milan,White,
Milan,Study,Family,,,,,,3,,,,Optimistic,Peaceful,,,,,Daily,Once a week,,,Excited,,,,,,,4,4,3,5,4,5,3,2,2,5,4,4,,,,,Disappointed,,,,,,,,"Yes, in 2022",,,Peaceful,Lonely,,,,,,Relationships,Mental health,Family,Physical health,Career & Finances,Spirituality,Relationships,Family,Physical health,Mental health,Career & Finances,Spirituality,Family,Bored,,,,Optimistic,Lonely,,,,No,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,5,5,3,3,8,,Engineering and Technology,Male,20-24,I'm Italian,Other / I prefer not to answer,
Milan,Both,Family,,,,,,4,,Stressed,,,,,,,,Daily,Daily,,,,,,,,Disappointed,,5,5,5,5,5,5,5,4,3,4,3,5,,,,,,,Threatened,,,No,,,,,,,,,,,,,Family,Relationships,Spirituality,Mental health,Physical health,Career & Finances,Family,Physical health,Mental health,Career & Finances,Relationships,Spirituality,,,,,,,,Disappointed,Frustrated,Anxious,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,5,2,3,3,5,2,3,3,6,,Engineering and Technology,Female,24-30,I have always lived in Milan,White,
Milan,Study,Family,,Pets,,,,,Bored,,,,Peaceful,,,Frustrated,,Daily,Daily,,,,,,,,,Anxious,5,4,3,4,5,4,5,4,2,4,5,4,,,,,Disappointed,,,,,No,,,,,,,,,,,,,Career & Finances,Physical health,Mental health,Relationships,Family,Spirituality,Physical health,Mental health,Family,Career & Finances,Relationships,Spirituality,Family,Bored,,,,,Lonely,,,,No,,,,,,,,,,,,,,,,,,,,,,4,2,2,1,5,4,3,3,7,,Engineering and Technology,Female,18-20,I'm Italian,White,
Milan,Study,Family,,,,,,3,Bored,,,,Peaceful,,,,,Daily,Daily,,,,,Peaceful,,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,Disappointed,Hostile,Threatened,,,No,,,,,,,,,,,,,Career & Finances,Physical health,Mental health,Family,Relationships,Spirituality,Career & Finances,Physical health,Mental health,Family,Relationships,Spirituality,Family,Bored,Stressed,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,Engineering and Technology,Female,20-24,I'm Italian,White,
Milan,Study,Family,,,,,,3,,,,,Peaceful,,,,,Daily,Daily,Bored,,,Hopeful,Peaceful,,,,,4,4,4,4,4,5,2,2,2,4,2,4,,,,,Disappointed,Hostile,,,,,,"Yes, in 2021","Yes, in 2022",,,Peaceful,Lonely,,,,,,Relationships,Career & Finances,Mental health,Physical health,Family,Spirituality,Career & Finances,Family,Physical health,Mental health,Relationships,Spirituality,Family,Bored,,Free,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,4,3,2,3,5,5,4,4,10,,Engineering and Technology,Male,20-24,I'm Italian,White,
Milan,Study,Family,,,,,,4,Bored,,,,Peaceful,,,,,Daily,Daily,,,,Hopeful,Peaceful,,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,Indifferent,,Disappointed,Hostile,,,,,"Yes, in 2020",,,,,Peaceful,Lonely,,,,,,Mental health,Physical health,Relationships,Family,Career & Finances,Spirituality,Mental health,Physical health,Relationships,Family,Career & Finances,Spirituality,Family,Bored,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,4,3,4,5,5,4,4,8,,Engineering and Technology,Male,20-24,I'm Italian,White,
Milan,Study,Family,,,,,,2,,,,,Peaceful,,,,,Daily,Daily,,,,Hopeful,,,,,,4,4,4,4,4,4,4,3,4,4,4,4,,,Indifferent,,,,,,Free,,,"Yes, in 2021",,Stressed,,,Lonely,,,,,,Mental health,Physical health,Family,Relationships,Career & Finances,Spirituality,Mental health,Physical health,Family,Career & Finances,Relationships,Spirituality,Family,Bored,,,,,Lonely,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,5,3,2,2,5,5,3,4,9,,Engineering and Technology,Male,24-30,I have always lived in Milan,Other / I prefer not to answer,
Milan,Study,Family,,Pets,,,,,,,Free,Optimistic,Peaceful,,,,,Daily,Daily,,Stressed,,,Peaceful,,,,,1,1,2,1,1,1,1,1,2,1,1,1,Proud,Optimistic,,,,,,,Free,,,,"Yes, in 2022",,Optimistic,Peaceful,,,,Frustrated,,,Family,Career & Finances,Mental health,Relationships,Physical health,Spirituality,Mental health,Family,Physical health,Career & Finances,Relationships,Spirituality,Family,,Stressed,Free,,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,7,,Engineering and Technology,Female,18-20,I'm Italian,White,
Milan,Study,Family,,,,,,2,Bored,,,,Peaceful,,Disappointed,,,Daily,Daily,,Stressed,Excited,,,,Vulnerable,,,5,5,5,5,5,5,5,4,5,5,5,5,,,,,Disappointed,Hostile,Threatened,,,,,"Yes, in 2021",,,Optimistic,Peaceful,,,,,,Threatened,Physical health,Family,Relationships,Career & Finances,Mental health,Spirituality,Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality,Family,,,,,,Lonely,Disappointed,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,4,3,3,2,4,4,3,3,7,,Engineering and Technology,Male,20-24,I'm Italian,White,
Milan,Study,Family,,,,,,3,,,,Optimistic,Peaceful,,,,,Daily,Daily,,,,,,,,Disappointed,,2,1,4,2,5,3,2,1,3,5,5,3,,,,,Disappointed,,,,,,,,"Yes, in 2022",,Optimistic,Peaceful,,,,,,,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Other / I prefer not to answer,Bored,,,,,Lonely,,,,No,,,,,,,,,,,,,,,,,,,,,,5,4,2,2,5,3,3,3,5,,Engineering and Technology,Male,20-24,I'm Italian,White,
Milan,Study,Family,,,,,,4,Bored,Stressed,,,,,,Frustrated,,Daily,Daily,,Stressed,,,,,,Disappointed,,5,5,5,5,5,5,5,4,5,5,5,5,,,,,Disappointed,,Threatened,,,No,,,,,,,,,,,,,Career & Finances,Family,Physical health,Mental health,Relationships,Spirituality,Family,Physical health,Mental health,Career & Finances,Spirituality,Relationships,Family,,,,,,Lonely,,Frustrated,Anxious,Yes because I changed my field of study,,,,,,,,Other / I prefer not to answer,,,,,,,,,,,,,,3,3,2,3,5,5,5,5,8,,Engineering and Technology,Male,20-24,I'm Italian,White,
Milan,Study,Family,,,,,,4,Bored,,,,Peaceful,,,,,Daily,Daily,,,,Hopeful,Peaceful,,,,,3,4,2,3,3,4,2,1,1,2,2,1,,,,Vulnerable,,,Threatened,Anxious,,,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed,Optimistic,,Lonely,,,,,,Family,Physical health,Relationships,Mental health,Career & Finances,Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,Bored,,Free,,,,,Frustrated,,Yes because I changed my field of study,,,,,Better Career Prospects,,,,,,,,,,,,,,,,,5,3,3,3,5,5,5,5,8,,Engineering and Technology,Male,18-20,I have always lived in Milan,White,
Milan,Study,,,,Roommates,,,1,,,,,Peaceful,,,,,Once a week,Monthly,,,,,Peaceful,,,,,5,4,4,5,5,5,5,4,4,5,5,5,,,Indifferent,,,,,,,No,,,,,,,,,,,,,Family,Mental health,Physical health,Relationships,Career & Finances,Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,Bored,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,2,2,1,5,4,3,2,10,,Engineering and Technology,Male,20-24,I'm Italian,White,
Milan,Study,Family,,,,,,3,Bored,,,,Peaceful,,Disappointed,,,Daily,Daily,Bored,,Excited,,Peaceful,,,,,4,4,4,3,2,4,3,4,2,2,1,3,,,Indifferent,,,,,,,,,,"Yes, in 2022",,,Peaceful,Lonely,,Disappointed,,,,Relationships,Family,Physical health,Mental health,Career & Finances,Spirituality,Career & Finances,Physical health,Relationships,Family,Mental health,Spirituality,Family,Bored,,,,,Lonely,Disappointed,,,No,,,,,,,,,,,,,,,,,,,,,,3,5,4,4,3,4,4,4,9,,Engineering and Technology,Female,20-24,I'm Italian,White,
Milan,Study,Family,,Pets,,,,,Bored,,,,Peaceful,,,,,Daily,Daily,Bored,Stressed,,,,,,,Anxious,4,3,4,4,4,4,3,2,4,4,4,3,,,,,Disappointed,,,Anxious,,No,,,,,,,,,,,,,Family,Physical health,Relationships,Career & Finances,Mental health,Spirituality,Relationships,Family,Mental health,Career & Finances,Physical health,Spirituality,Family,,,Free,,,,,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,5,5,4,4,8,,Engineering and Technology,Male,20-24,I have always lived in Milan,White,
Milan,Study,Family,,,,,,4,Bored,,,,,,,,,Daily,Daily,,,Excited,,,,Vulnerable,,Anxious,5,4,4,4,5,5,4,5,4,4,4,5,,,,,Disappointed,,,,,No,,,,,,,,,,,,,Relationships,Physical health,Mental health,Family,Career & Finances,Spirituality,Relationships,Family,Physical health,Mental health,Career & Finances,Spirituality,Job,,Stressed,,,,Lonely,,,,No,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,5,4,4,4,7,,Built Environment and Design,Female,24-30,I'm Italian,White,
Milan,Study,Family,,,,,,2,Bored,Stressed,,,,Lonely,,,,Daily,Daily,,,,,Peaceful,,,,,4,3,3,3,4,3,3,3,3,3,3,3,,,Indifferent,,,,,,,No,,,,,,,,,,,,,Career & Finances,Physical health,Mental health,Family,Relationships,Spirituality,Mental health,Physical health,Career & Finances,Family,Relationships,Spirituality,Family,,,Free,,,,,,,Yes because I changed my field of study,,,,,,,,Other / I prefer not to answer,,,,,,,,,,,,,,2,2,2,2,5,5,5,5,8,,Engineering and Technology,Male,18-20,I'm Italian,White,
Milan,Study,Family,,,,,,3,,,,,Peaceful,,,,,Daily,Once a week,,,,,Peaceful,,,,,5,4,4,4,4,4,5,4,4,4,4,4,,,,,Disappointed,Hostile,Threatened,,,No,,,,,,,,,,,,,Career & Finances,Family,Relationships,Physical health,Mental health,Spirituality,Career & Finances,Family,Relationships,Physical health,Mental health,Spirituality,Family,Bored,Stressed,,,,,,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,5,5,5,5,7,,Engineering and Technology,Male,20-24,I'm Italian,White,
Milan,Study,Family,Friends,,,,,5,Bored,,,,Peaceful,,Disappointed,,,Daily,Daily,Bored,,,,,,,,Anxious,5,5,5,5,5,5,5,2,2,5,5,2,,,,,,Hostile,Threatened,,,No,,,,,,,,,,,,,Family,Relationships,Physical health,Mental health,Career & Finances,Spirituality,Relationships,Physical health,Family,Mental health,Career & Finances,Spirituality,Family,,Stressed,,,,Lonely,,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,3,3,3,1,5,5,5,5,7,,Engineering and Technology,Male,18-20,I'm Italian,White,
Milan,Study,Family,,,,,,3,,Stressed,,,,,,,,Daily,Daily,,,,,Peaceful,,,,,4,3,4,3,4,4,4,2,3,3,4,4,,,,,Disappointed,,Threatened,,,,,"Yes, in 2021",,,,Peaceful,,,,Frustrated,,,Career & Finances,Relationships,Family,Physical health,Mental health,Spirituality,Career & Finances,Relationships,Family,Physical health,Mental health,Spirituality,Family,Bored,,Free,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,5,5,4,5,8,,Engineering and Technology,Male,20-24,I'm Italian,White,
Milan,Study,Family,,,,,,4,Bored,,,,Peaceful,Lonely,,,,Daily,Once a week,,Stressed,,,,,Vulnerable,,Anxious,4,4,4,4,4,4,4,4,4,4,4,4,,,,,Disappointed,Hostile,,Anxious,,,,,"Yes, in 2022",,,Peaceful,Lonely,,,,,,Relationships,Physical health,Family,Career & Finances,Mental health,Spirituality,Relationships,Family,Physical health,Mental health,Career & Finances,Spirituality,Job,Bored,,Free,,,,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,8,,Engineering and Technology,Male,18-20,I'm Italian,White,
Milan,Study,Family,,,,,,3,Bored,,,,Peaceful,,,,,Daily,Daily,,,,,Peaceful,Lonely,,,,5,5,5,4,5,5,4,4,4,4,4,4,,,,,Disappointed,Hostile,,,,,,,"Yes, in 2022",Stressed,,Peaceful,,,,,,,Family,Career & Finances,Mental health,Relationships,Spirituality,Physical health,Family,Physical health,Career & Finances,Mental health,Relationships,Spirituality,Family,Bored,,Free,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,4,3,2,1,5,5,4,3,10,,Engineering and Technology,Male,20-24,I'm Italian,White,
Milan,Study,Family,,,,,,4,,,,,,,,Frustrated,,Daily,Daily,,Stressed,,,,Lonely,,,,5,5,2,5,4,5,5,5,2,5,4,5,,,,,Disappointed,Hostile,Threatened,,,No,,,,,,,,,,,,,Relationships,Family,Physical health,Career & Finances,Mental health,Spirituality,Family,Relationships,Physical health,Mental health,Career & Finances,Spirituality,Scholarship,Bored,,,Proud,,,,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,5,4,1,2,6,,"Commerce, Management, Tourism and Services",Male,20-24,I'm Italian,White,
